anunciante,area_privativa,area_total,atualizacao,bairro,banheiros,cidade,cod_imovel,creci,data_publicacao,dce,endereco,garagem,idade_imovel,quartos,suites,url,valor_condominio,valor_imovel,valor_iptu,valor_mt2
Herbert Moura Goulart,240,329,,Asa Sul,5,Brasília,2508694284,,,,SQS 216 Bloco G,[2],,4,[2],https://www.vivareal.com.br/imovel/apartamento-4-quartos-asa-sul-bairros-brasilia-com-garagem-240m2-venda-RS3200000-id-2508694284/,2072,3200000,,
Antonio Carlos Borba Carapeba,86,135,,Asa Sul,2,Brasília,2467074553,,,,SQS 206 Bloco F,[1],,3,,https://www.vivareal.com.br/imovel/apartamento-3-quartos-asa-sul-bairros-brasilia-com-garagem-86m2-venda-RS1170000-id-2467074553/,1235,1170000,1470,
Mauricio Santos de Oliveira,70,87,,Taguatinga Norte,1,Brasília,2503838881,,,,CNB,[1],,3,,https://www.vivareal.com.br/imovel/apartamento-3-quartos-taguatinga-norte-bairros-brasilia-com-garagem-70m2-venda-RS289000-id-2503838881/,600,289000,,
Marcia Azevedo,152,289,,Setor Noroeste,6,Brasília,2569050095,21780-F-DF,,,SQNW 111 Bloco G,[4],,4,[4],https://www.vivareal.com.br/imovel/apartamento-4-quartos-setor-noroeste-bairros-brasilia-com-garagem-152m2-venda-RS2317143-id-2569050095/,0,2317143,0,
José Junior,44,60,,Samambaia Sul,1,Brasília,2569836748,,,,QR 321,[1],,2,,https://www.vivareal.com.br/imovel/apartamento-2-quartos-samambaia-sul-bairros-brasilia-com-garagem-44m2-venda-RS68000-id-2569836748/,,68000,,
Edson Ferreira de Faria,33,33,,Asa Norte,1,Brasília,2566937336,16422-F-DF,,,SHTN,[1],,1,,https://www.vivareal.com.br/imovel/apartamento-1-quartos-asa-norte-bairros-brasilia-com-garagem-33m2-venda-RS510000-id-2566937336/,0,510000,0,
MODULOS CONSULTORIA E GERENCIAMENTO IMOBILIARIO LTDA ME,63,112,,Setor Sudoeste,2,Brasília,2562527295,05004-J-DF,,,CCSW 3,[1],,2,[1],https://www.vivareal.com.br/imovel/apartamento-2-quartos-setor-sudoeste-bairros-brasilia-com-garagem-63m2-venda-RS795000-id-2562527295/,670,795000,258,
Jose Antônio,78,110,,Aguas Claras,2,Brasília,2569321409,4519-F-DF,,,QS 7,[2],,3,[1],https://www.vivareal.com.br/imovel/apartamento-3-quartos-aguas-claras-bairros-brasilia-com-garagem-78m2-venda-RS280000-id-2569321409/,447,280000,660,
Lauro Lobo Imóveis,46,,,Ceilandia Norte,2,Brasília,2567603808,,,,QNO 10 Área Especial P,[1],,2,[1],https://www.vivareal.com.br/imovel/apartamento-2-quartos-ceilandia-norte-bairros-brasilia-com-garagem-46m2-venda-RS219000-id-2567603808/,0,219000,0,
Jose Antônio,55,70,,Taguatinga,1,Brasília,2569936700,4519-F-DF,,,QNL 17 Conjunto J,[1],,2,[0],https://www.vivareal.com.br/imovel/apartamento-2-quartos-taguatinga-bairros-brasilia-com-garagem-55m2-venda-RS60000-id-2569936700/,280,60000,320,
Vania Alves,45,45,,Samambaia Norte,1,Brasília,2563926232,13364-F-DF,,,QR 601 Conjunto 1,[1],,2,[0],https://www.vivareal.com.br/imovel/apartamento-2-quartos-samambaia-norte-bairros-brasilia-com-garagem-45m2-venda-RS215000-id-2563926232/,398,215000,0,
Lopes Jk,103,179,,Aguas Claras,4,Brasília,2561208640,27211-J-DF,,,Avenida das Araucárias,[2],,3,[2],https://www.vivareal.com.br/imovel/apartamento-3-quartos-aguas-claras-bairros-brasilia-com-garagem-103m2-venda-RS972669-id-2561208640/,0,972669,0,
Top Line Prime,100,,,Asa Norte,2,Brasília,2566114909,06955-J-DF,,,SCEN Trecho,[2],,3,[1],https://www.vivareal.com.br/imovel/apartamento-3-quartos-asa-norte-bairros-brasilia-com-garagem-100m2-venda-RS1800000-id-2566114909/,2063,1800000,100,
JESSICA MOTA IMÓVEIS,52,,,Setor Central,1,Brasília,2569657202,17941-F-DF,,,Quadra 50,[1],,2,[0],https://www.vivareal.com.br/imovel/apartamento-2-quartos-setor-central-bairros-brasilia-com-garagem-52m2-venda-RS256000-id-2569657202/,0,256000,0,
Roberto Rodrigues Corretor de Imóveis,63,,,Cruzeiro Novo,1,Brasília,2553901334,5580-F-DF,,,SHCES Quadra 403 Bloco E,,,3,[0],https://www.vivareal.com.br/imovel/apartamento-3-quartos-cruzeiro-novo-bairros-brasilia-63m2-venda-RS470000-id-2553901334/,330,470000,0,
Brasília Imóveis e Seguros,102,126,,Aguas Claras,4,Brasília,2567542429,,,,Rua 14,[2],,3,[1],https://www.vivareal.com.br/imovel/apartamento-3-quartos-aguas-claras-bairros-brasilia-com-garagem-102m2-venda-RS865000-id-2567542429/,890,865000,1200,
ROGERIO DA SILVA DE QUEIROZ,95,102,,Asa Norte,2,Brasília,2570193224,18200-F-DF,,,SQN 312 Bloco A,[0],,3,,https://www.vivareal.com.br/imovel/apartamento-3-quartos-asa-norte-bairros-brasilia-95m2-venda-RS729900-id-2570193224/,539,729900,0,
